geographicDescription	northBoundingCoordinate	southBoundingCoordinate	eastBoundingCoordinate	westBoundingCoordinate
EDSM 21-36-LSSC06 2021-03-30	38.4618	38.4618	-121.58779	-121.58779
EDSM 21-36-LSSC04 2021-03-30	38.40487	38.40487	-121.61462	-121.61462
EDSM 21-36-LSR03 2021-03-29	38.08513	38.08513	-121.74183	-121.74183
EDSM 21-38-USSC02 2021-04-12	38.53974	38.53974	-121.5834	-121.5834
EDSM 21-38-USSC01 2021-04-12	38.52128	38.52128	-121.5834	-121.5834
EDSM 21-38-PP01 2021-04-12	38.07569	38.07569	-121.56697	-121.56697
EDSM 21-38-SJT02 2021-04-12	38.04981	38.04981	-121.69442	-121.69442
EDSM 21-38-LSJ01 2021-04-12	38.02224	38.02224	-121.74764	-121.74764
EDSM 21-38-LSSC03 2021-04-12	38.25419	38.25419	-121.66673	-121.66673
EDSM 21-36-GB02 2021-03-31	38.10619	38.10619	-122.03433	-122.03433
EDSM 21-36-GB04 2021-03-31	38.10821	38.10821	-122.04827	-122.04827
EDSM 21-36-GB05 2021-03-31	38.10884	38.10884	-122.05841	-122.05841
EDSM 21-36-LSSC07 2021-03-31	38.20862	38.20862	-121.65923	-121.65923
EDSM 21-36-LSSC03 2021-03-31	38.19306	38.19306	-121.65595	-121.65595
EDSM 21-36-LSSC05 2021-03-31	38.24065	38.24065	-121.67031	-121.67031
EDSM 21-38-LSSC06 2021-04-13	38.26926	38.26926	-121.66273	-121.66273
EDSM 21-38-LSSC07 2021-04-13	38.2257	38.2257	-121.67383	-121.67383
EDSM 21-38-LSSC04 2021-04-13	38.20838	38.20838	-121.65779	-121.65779
EDSM 21-38-SJT01 2021-04-12	38.05959	38.05959	-121.68229	-121.68229
EDSM 21-38-LSSC01 2021-04-12	38.1956	38.1956	-121.65507	-121.65507
EDSM 21-38-SBW01 2021-04-14	38.07135	38.07135	-122.08561	-122.08561
EDSM 21-38-SM04 2021-04-15	38.12043	38.12043	-122.06514	-122.06514
EDSM 21-38-GB01 2021-04-15	38.11316	38.11316	-122.05913	-122.05913
EDSM 21-38-CS04 2021-04-15	38.27162	38.27162	-121.70534	-121.70534
EDSM 21-38-CS01 2021-04-15	38.25999	38.25999	-121.68595	-121.68595
EDSM 21-38-CS02 2021-04-15	38.23434	38.23434	-121.67725	-121.67725
EDSM 21-38-CS06 2021-04-15	38.25747	38.25747	-121.72699	-121.72699
EDSM 21-38-CS05 2021-04-15	38.24856	38.24856	-121.67415	-121.67415
EDSM 21-38-SM01 2021-04-15	38.1228	38.1228	-121.88889	-121.88889
EDSM 21-38-LSSC02 2021-04-12	38.44949	38.44949	-121.59381	-121.59381
EDSM 21-38-RV04 2021-04-14	38.1455	38.1455	-121.68486	-121.68486
EDSM 21-36-LSR02 2021-03-29	38.05306	38.05306	-121.79704	-121.79704
EDSM 21-36-RV02 2021-03-29	38.11009	38.11009	-121.69084	-121.69084
EDSM 21-36-PP01 2021-03-29	38.05349	38.05349	-121.51671	-121.51671
EDSM 21-36-SJT01 2021-03-29	38.08764	38.08764	-121.65118	-121.65118
EDSM 21-36-CS05 2021-04-01	38.26004	38.26004	-121.75627	-121.75627
EDSM 21-36-CS04 2021-04-01	38.27758	38.27758	-121.66429	-121.66429
EDSM 21-36-CS01 2021-04-01	38.33398	38.33398	-121.64973	-121.64973
EDSM 21-38-LSSC05 2021-04-13	38.41764	38.41764	-121.60845	-121.60845
EDSM 21-38-CF01 2021-04-14	38.053	38.053	-121.83675	-121.83675
EDSM 21-38-SBM01 2021-04-14	38.09346	38.09346	-122.02537	-122.02537
EDSM 21-38-SBM02 2021-04-14	38.06084	38.06084	-122.00478	-122.00478
EDSM 21-38-LSSC08 2021-04-13	38.37482	38.37482	-121.62852	-121.62852
EDSM 21-38-CS03 2021-04-15	38.2602	38.2602	-121.75598	-121.75598
EDSM 21-38-RV03 2021-04-14	38.09352	38.09352	-121.73227	-121.73227
EDSM 21-36-SM07 2021-03-31	38.16448	38.16448	-122.04382	-122.04382
EDSM 21-39-SJT02 2021-04-20	38.06158	38.06158	-121.68084	-121.68084
EDSM 21-39-LSJ01 2021-04-20	38.04161	38.04161	-121.69874	-121.69874
EDSM 21-39-LSJ03 2021-04-20	38.03272	38.03272	-121.73579	-121.73579
EDSM 21-39-LSJ02 2021-04-20	38.0176	38.0176	-121.79647	-121.79647
EDSM 21-39-SJT04 2021-04-20	38.07836	38.07836	-121.68111	-121.68111
EDSM 21-47-LSSC01 2021-06-16	38.28565	38.28565	-121.65768	-121.65768
EDSM 21-47-SBM01 2021-06-16	38.08247	38.08247	-121.99416	-121.99416
EDSM 21-47-SBW01 2021-06-16	38.05844	38.05844	-122.10281	-122.10281
EDSM 21-47-CF01 2021-06-16	38.04583	38.04583	-121.92184	-121.92184
EDSM 21-47-CF03 2021-06-16	38.04635	38.04635	-121.88674	-121.88674
EDSM 21-48-LSR02 2021-06-22	38.0748	38.0748	-121.76019	-121.76019
EDSM 21-48-SBW01 2021-06-22	38.06349	38.06349	-122.05704	-122.05704
EDSM 21-48-SBW02 2021-06-22	38.05687	38.05687	-122.08515	-122.08515
EDSM 21-48-RV03 2021-06-22	38.12495	38.12495	-121.69641	-121.69641
EDSM 21-48-RV01 2021-06-22	38.08681	38.08681	-121.73675	-121.73675
EDSM 21-48-CF01 2021-06-22	38.0428	38.0428	-121.8422	-121.8422
EDSM 21-47-USSC01 2021-06-16	38.56078	38.56078	-121.55857	-121.55857
EDSM 21-47-USSC02 2021-06-16	38.50342	38.50342	-121.5832	-121.5832
EDSM 21-47-USSC03 2021-06-16	38.55626	38.55626	-121.57514	-121.57514
EDSM 21-47-LSSC06 2021-06-16	38.46736	38.46736	-121.58505	-121.58505
EDSM 21-47-LSSC07 2021-06-17	38.42646	38.42646	-121.60401	-121.60401
EDSM 21-48-LSR01 2021-06-22	38.06589	38.06589	-121.78923	-121.78923
EDSM 21-48-RV02 2021-06-22	38.09531	38.09531	-121.68462	-121.68462
EDSM 21-48-CS04 2021-06-21	38.30678	38.30678	-121.66618	-121.66618
EDSM 21-48-LSSC02 2021-06-23	38.46367	38.46367	-121.58719	-121.58719
EDSM 21-47-LSSC02 2021-06-17	38.1831	38.1831	-121.66218	-121.66218
EDSM 21-48-USSC03 2021-06-23	38.55001	38.55001	-121.57908	-121.57908
EDSM 21-48-LSJ01 2021-06-24	38.04216	38.04216	-121.70448	-121.70448
EDSM 21-48-SJT02 2021-06-24	38.05984	38.05984	-121.67571	-121.67571
EDSM 21-48-USSC01 2021-06-23	38.5639	38.5639	-121.55215	-121.55215
EDSM 21-48-SJT03 2021-06-24	38.09138	38.09138	-121.67607	-121.67607
EDSM 21-40-USSC03 2021-04-26	38.47558	38.47558	-121.58335	-121.58335
EDSM 21-40-CS01 2021-04-28	38.25863	38.25863	-121.7439	-121.7439
EDSM 21-40-CS02 2021-04-28	38.2652	38.2652	-121.69704	-121.69704
EDSM 21-40-CS06 2021-04-28	38.27461	38.27461	-121.70725	-121.70725
EDSM 21-40-SJT01 2021-04-28	38.07901	38.07901	-121.67771	-121.67771
EDSM 21-39-CS07 2021-04-22	38.25696	38.25696	-121.67059	-121.67059
EDSM 21-39-CS01 2021-04-22	38.36043	38.36043	-121.63897	-121.63897
EDSM 21-39-SBM01 2021-04-22	38.07158	38.07158	-122.04814	-122.04814
EDSM 21-39-CF01 2021-04-22	38.03008	38.03008	-121.83071	-121.83071
EDSM 21-39-SBW01 2021-04-22	38.04228	38.04228	-122.11713	-122.11713
EDSM 21-41-LSR02 2021-05-06	38.06942	38.06942	-121.76924	-121.76924
EDSM 21-41-SBM02 2021-05-06	38.06952	38.06952	-121.98679	-121.98679
EDSM 21-41-SBM01 2021-05-06	38.10234	38.10234	-122.03715	-122.03715
EDSM 21-41-SM05 2021-05-04	38.19387	38.19387	-122.04026	-122.04026
EDSM 21-41-CF02 2021-05-06	38.0518	38.0518	-121.84099	-121.84099
EDSM 21-39-RV02 2021-04-23	38.13276	38.13276	-121.6948	-121.6948
EDSM 21-39-SM02 2021-04-23	38.12435	38.12435	-122.05711	-122.05711
EDSM 21-39-LSR02 2021-04-23	38.0624	38.0624	-121.81127	-121.81127
EDSM 21-39-RV03 2021-04-23	38.09071	38.09071	-121.70646	-121.70646
EDSM 21-39-GB01 2021-04-23	38.10276	38.10276	-122.05627	-122.05627
EDSM 21-39-SM01 2021-04-23	38.10865	38.10865	-121.89002	-121.89002
EDSM 21-39-SM04 2021-04-23	38.14116	38.14116	-122.06072	-122.06072
EDSM 21-40-SBW01 2021-04-27	38.05365	38.05365	-122.05463	-122.05463
EDSM 21-40-PP01 2021-04-28	38.05946	38.05946	-121.53419	-121.53419
EDSM 21-40-SM03 2021-04-26	38.14749	38.14749	-122.05787	-122.05787
EDSM 21-40-LSSC02 2021-04-27	38.34486	38.34486	-121.64196	-121.64196
EDSM 21-42-LSSC01 2021-05-10	38.20861	38.20861	-121.65943	-121.65943
EDSM 21-42-LSR01 2021-05-10	38.07199	38.07199	-121.77057	-121.77057
EDSM 21-42-LSSC02 2021-05-10	38.18641	38.18641	-121.66011	-121.66011
EDSM 21-42-LSSC04 2021-05-10	38.19803	38.19803	-121.65635	-121.65635
EDSM 21-42-RV01 2021-05-10	38.10214	38.10214	-121.71431	-121.71431
EDSM 21-41-SM07 2021-05-03	38.16255	38.16255	-121.93047	-121.93047
EDSM 21-41-RV01 2021-05-06	38.13987	38.13987	-121.69111	-121.69111
EDSM 21-41-SBW01 2021-05-06	38.04475	38.04475	-122.11742	-122.11742
EDSM 21-41-LSSC04 2021-05-03	38.466	38.466	-121.58627	-121.58627
EDSM 21-41-LSR03 2021-05-06	38.06757	38.06757	-121.83006	-121.83006
EDSM 21-41-RV02 2021-05-06	38.10638	38.10638	-121.7184	-121.7184
EDSM 21-41-LSR01 2021-05-06	38.05624	38.05624	-121.80083	-121.80083
EDSM 21-42-LSR02 2021-05-10	38.06305	38.06305	-121.78907	-121.78907
EDSM 21-42-USSC01 2021-05-10	38.56093	38.56093	-121.56034	-121.56034
EDSM 21-42-USSC03 2021-05-11	38.56312	38.56312	-121.55021	-121.55021
EDSM 21-48-SJT01 2021-06-24	38.09768	38.09768	-121.66236	-121.66236
EDSM 21-48-PP01 2021-06-24	38.03744	38.03744	-121.4998	-121.4998
EDSM 21-48-SBM01 2021-06-25	38.0728	38.0728	-122.00509	-122.00509
EDSM 21-48-HB02 2021-06-25	38.0545	38.0545	-121.96938	-121.96938
EDSM 21-48-CF02 2021-06-25	38.04192	38.04192	-121.83021	-121.83021
EDSM 21-42-RV03 2021-05-10	38.09139	38.09139	-121.70913	-121.70913
EDSM 21-42-USSC02 2021-05-11	38.52286	38.52286	-121.58311	-121.58311
EDSM 21-42-USSC04 2021-05-11	38.53826	38.53826	-121.58386	-121.58386
EDSM 21-42-LSSC03 2021-05-11	38.42784	38.42784	-121.60333	-121.60333
EDSM 21-42-CF01 2021-05-11	38.03374	38.03374	-121.87322	-121.87322
EDSM 21-42-SBM01 2021-05-11	38.08696	38.08696	-122.00448	-122.00448
EDSM 21-42-SBM02 2021-05-11	38.0601	38.0601	-122.00685	-122.00685
EDSM 21-42-SBW01 2021-05-11	38.07411	38.07411	-122.08181	-122.08181
EDSM 21-42-SBW02 2021-05-11	38.05586	38.05586	-122.11517	-122.11517
EDSM 21-42-SM04 2021-05-12	38.11727	38.11727	-122.06156	-122.06156
EDSM 21-42-SM03 2021-05-12	38.13447	38.13447	-121.91376	-121.91376
EDSM 21-42-SM05 2021-05-12	38.1456	38.1456	-122.0586	-122.0586
EDSM 21-42-SM02 2021-05-12	38.15737	38.15737	-122.04932	-122.04932
EDSM 21-42-LSSC05 2021-05-10	38.31795	38.31795	-121.65037	-121.65037
EDSM 21-42-RV02 2021-05-10	38.08536	38.08536	-121.7398	-121.7398
EDSM 21-42-CS01 2021-05-13	38.31786	38.31786	-121.69184	-121.69184
EDSM 21-42-CS04 2021-05-13	38.23482	38.23482	-121.67963	-121.67963
EDSM 21-42-CS05 2021-05-13	38.25759	38.25759	-121.69122	-121.69122
EDSM 21-42-PP01 2021-05-13	38.09674	38.09674	-121.58336	-121.58336
EDSM 21-42-PP03 2021-05-13	38.05852	38.05852	-121.54824	-121.54824
EDSM 21-39-LSR01 2021-04-23	38.07228	38.07228	-121.76582	-121.76582
EDSM 21-40-SM02 2021-04-26	38.18658	38.18658	-121.98033	-121.98033
EDSM 21-40-LSSC03 2021-04-27	38.19232	38.19232	-121.6566	-121.6566
EDSM 21-40-CS07 2021-04-29	38.25948	38.25948	-121.69107	-121.69107
EDSM 21-40-CS08 2021-04-29	38.24989	38.24989	-121.67301	-121.67301
EDSM 21-40-RV02 2021-04-29	38.11836	38.11836	-121.69595	-121.69595
EDSM 21-40-CF01 2021-04-27	38.0594	38.0594	-121.86929	-121.86929
EDSM 21-40-PP02 2021-04-28	38.04464	38.04464	-121.50283	-121.50283
EDSM 21-40-LSJ02 2021-04-28	38.02115	38.02115	-121.7844	-121.7844
EDSM 21-40-SM01 2021-04-26	38.12321	38.12321	-121.91444	-121.91444
EDSM 21-40-LSJ01 2021-04-28	38.04709	38.04709	-121.69959	-121.69959
EDSM 21-45-SJT01 2021-06-02	38.09758	38.09758	-121.66187	-121.66187
EDSM 21-46-USSC02 2021-06-10	38.53688	38.53688	-121.58325	-121.58325
EDSM 21-46-LSR02 2021-06-11	38.06934	38.06934	-121.76755	-121.76755
EDSM 21-46-USSC01 2021-06-10	38.56281	38.56281	-121.5494	-121.5494
EDSM 21-46-LSSC01 2021-06-10	38.44306	38.44306	-121.59667	-121.59667
EDSM 21-46-LSR01 2021-06-11	38.06027	38.06027	-121.80032	-121.80032
EDSM 21-46-RV02 2021-06-11	38.08313	38.08313	-121.71311	-121.71311
EDSM 21-46-LSR03 2021-06-11	38.06182	38.06182	-121.78562	-121.78562
EDSM 21-46-RV01 2021-06-11	38.15285	38.15285	-121.68885	-121.68885
EDSM 21-47-CS06 2021-06-14	38.24043	38.24043	-121.68519	-121.68519
EDSM 21-46-LSSC03 2021-06-10	38.47387	38.47387	-121.58309	-121.58309
EDSM 21-46-LSSC02 2021-06-10	38.21609	38.21609	-121.66864	-121.66864
EDSM 21-47-CS04 2021-06-14	38.25529	38.25529	-121.69416	-121.69416
EDSM 21-47-CS05 2021-06-14	38.27829	38.27829	-121.70881	-121.70881
EDSM 21-47-CF02 2021-06-16	38.06777	38.06777	-121.84076	-121.84076
EDSM 21-47-SJT01 2021-06-14	38.05625	38.05625	-121.68976	-121.68976
EDSM 21-47-CS01 2021-06-14	38.25827	38.25827	-121.73777	-121.73777
EDSM 21-47-CS02 2021-06-14	38.28562	38.28562	-121.71976	-121.71976
EDSM 21-47-SJT02 2021-06-14	38.08733	38.08733	-121.67744	-121.67744
EDSM 21-47-CS07 2021-06-14	38.26654	38.26654	-121.69112	-121.69112
EDSM 21-41-LSSC01 2021-05-03	38.18846	38.18846	-121.65912	-121.65912
EDSM 21-41-SM01 2021-05-03	38.15024	38.15024	-121.91683	-121.91683
EDSM 21-41-LSSC06 2021-05-04	38.2037	38.2037	-121.65587	-121.65587
EDSM 21-41-LSSC05 2021-05-04	38.25086	38.25086	-121.66722	-121.66722
EDSM 21-41-LSSC03 2021-05-04	38.2104	38.2104	-121.662	-121.662
EDSM 21-48-SM02 2021-06-21	38.16596	38.16596	-122.06613	-122.06613
EDSM 21-48-USSC02 2021-06-23	38.55989	38.55989	-121.56647	-121.56647
EDSM 21-39-RV01 2021-04-23	38.14696	38.14696	-121.68824	-121.68824
EDSM 21-40-CS03 2021-04-28	38.24652	38.24652	-121.70315	-121.70315
EDSM 21-40-CS09 2021-04-28	38.28338	38.28338	-121.71435	-121.71435
EDSM 21-40-GB01 2021-04-26	38.10741	38.10741	-122.05805	-122.05805
EDSM 21-40-HB01 2021-04-27	38.05043	38.05043	-121.97041	-121.97041
EDSM 21-40-SBM01 2021-04-27	38.06048	38.06048	-121.99656	-121.99656
EDSM 21-40-RV04 2021-04-29	38.10921	38.10921	-121.71182	-121.71182
EDSM 21-43-SBW02 2021-05-21	38.08859	38.08859	-122.07887	-122.07887
EDSM 21-43-CF02 2021-05-21	38.02986	38.02986	-121.82855	-121.82855
EDSM 21-43-LSR02 2021-05-21	38.07042	38.07042	-121.77518	-121.77518
EDSM 21-43-CF01 2021-05-21	38.04911	38.04911	-121.92144	-121.92144
EDSM 21-43-SBM01 2021-05-21	38.07013	38.07013	-121.97553	-121.97553
EDSM 21-43-SBW01 2021-05-21	38.06247	38.06247	-122.11377	-122.11377
EDSM 21-43-LSSC01 2021-05-18	38.18128	38.18128	-121.66468	-121.66468
EDSM 21-43-PP02 2021-05-17	38.04356	38.04356	-121.50471	-121.50471
EDSM 21-43-PP01 2021-05-17	38.09753	38.09753	-121.58793	-121.58793
EDSM 21-43-LSSC04 2021-05-18	38.22776	38.22776	-121.67323	-121.67323
EDSM 21-39-HB01 2021-04-22	38.04823	38.04823	-121.94123	-121.94123
EDSM 21-39-CF02 2021-04-22	38.05427	38.05427	-121.84284	-121.84284
EDSM 21-39-SBW02 2021-04-22	38.05887	38.05887	-122.06745	-122.06745
EDSM 21-40-SBW02 2021-04-27	38.09262	38.09262	-122.07256	-122.07256
EDSM 21-40-CS04 2021-04-29	38.26684	38.26684	-121.66913	-121.66913
EDSM 21-40-CS10 2021-04-29	38.27852	38.27852	-121.69367	-121.69367
EDSM 21-40-RV03 2021-04-29	38.10546	38.10546	-121.69801	-121.69801
EDSM 21-40-LSSC05 2021-04-27	38.43237	38.43237	-121.60121	-121.60121
EDSM 21-40-LSR01 2021-04-29	38.05828	38.05828	-121.81882	-121.81882
EDSM 21-40-LSSC04 2021-04-27	38.2787	38.2787	-121.65957	-121.65957
EDSM 21-40-LSSC06 2021-04-27	38.21252	38.21252	-121.66637	-121.66637
EDSM 21-40-SM04 2021-04-26	38.12869	38.12869	-122.06049	-122.06049
EDSM 21-40-CS11 2021-04-29	38.43036	38.43036	-121.60698	-121.60698
EDSM 21-40-SBM02 2021-04-27	38.0998	38.0998	-122.03748	-122.03748
EDSM 21-40-RV01 2021-04-29	38.08494	38.08494	-121.74028	-121.74028
EDSM 21-40-LSR02 2021-04-29	38.0694	38.0694	-121.78265	-121.78265
EDSM 21-41-SM02 2021-05-03	38.17731	38.17731	-121.00969	-121.00969
EDSM 21-41-USSC02 2021-05-03	38.56322	38.56322	-121.54924	-121.54924
EDSM 21-41-LSSC02 2021-05-04	38.34712	38.34712	-121.64085	-121.64085
EDSM 21-41-GB02 2021-05-04	38.10592	38.10592	-122.04815	-122.04815
EDSM 21-41-USSC03 2021-05-03	38.56132	38.56132	-121.55784	-121.55784
EDSM 21-41-LSJ02 2021-05-05	38.01598	38.01598	-121.79033	-121.79033
EDSM 21-41-SM06 2021-05-04	38.12099	38.12099	-122.07551	-122.07551
EDSM 21-41-LSJ03 2021-05-05	38.02577	38.02577	-121.7217	-121.7217
EDSM 21-41-PP01 2021-05-05	38.08896	38.08896	-121.57255	-121.57255
EDSM 21-41-SM04 2021-05-03	38.18618	38.18618	-121.98145	-121.98145
EDSM 21-41-SM08 2021-05-04	38.12711	38.12711	-122.08249	-122.08249
EDSM 21-41-SJT01 2021-05-05	38.08703	38.08703	-121.63394	-121.63394
EDSM 21-41-GB01 2021-05-04	38.10563	38.10563	-122.05358	-122.05358
EDSM 21-41-CS01 2021-05-05	38.31886	38.31886	-121.66613	-121.66613
EDSM 21-41-LSJ01 2021-05-05	38.03124	38.03124	-121.73138	-121.73138
EDSM 21-41-CS02 2021-05-05	38.29815	38.29815	-121.65817	-121.65817
EDSM 21-41-USSC01 2021-05-03	38.47473	38.47473	-121.58312	-121.58312
EDSM 21-41-CF01 2021-05-06	38.0319	38.0319	-121.83685	-121.83685
EDSM 21-41-CS03 2021-05-05	38.25832	38.25832	-121.6702	-121.6702
EDSM 21-41-CS05 2021-05-05	38.24557	38.24557	-121.6766	-121.6766
EDSM 21-41-LSSC07 2021-05-04	38.45061	38.45061	-121.59327	-121.59327
EDSM 21-41-CS04 2021-05-05	38.25883	38.25883	-121.73922	-121.73922
EDSM 21-41-SM03 2021-05-03	38.15502	38.15502	-122.05231	-122.05231
EDSM 21-43-LSSC02 2021-05-18	38.20309	38.20309	-121.65698	-121.65698
EDSM 21-43-SM03 2021-05-20	38.15122	38.15122	-122.05619	-122.05619
EDSM 21-43-LSJ01 2021-05-19	38.0289	38.0289	-121.75552	-121.75552
EDSM 21-43-GB02 2021-05-20	38.11704	38.11704	-122.05747	-122.05747
EDSM 21-43-GB01 2021-05-20	38.10502	38.10502	-122.06083	-122.06083
EDSM 21-43-SBW03 2021-05-19	38.04406	38.04406	-122.11233	-122.11233
EDSM 21-43-CF03 2021-05-19	38.03941	38.03941	-121.88378	-121.88378
EDSM 21-43-SM01 2021-05-20	38.12125	38.12125	-121.90151	-121.90151
EDSM 21-43-SM02 2021-05-20	38.18082	38.18082	-121.99992	-121.99992
EDSM 21-43-SBM02 2021-05-19	38.0794	38.0794	-121.99306	-121.99306
EDSM 21-43-SJT01 2021-05-19	38.06273	38.06273	-121.67718	-121.67718
EDSM 21-43-LSR01 2021-05-21	38.06634	38.06634	-121.83631	-121.83631
EDSM 21-44-GB03 2021-05-27	38.10469	38.10469	-122.03332	-122.03332
EDSM 21-44-LSJ01 2021-05-25	38.02569	38.02569	-121.74997	-121.74997
EDSM 21-44-CS01 2021-05-24	38.37298	38.37298	-121.63317	-121.63317
EDSM 21-44-CS02 2021-05-24	38.25649	38.25649	-121.73349	-121.73349
EDSM 21-44-CS04 2021-05-24	38.2603	38.2603	-121.66942	-121.66942
EDSM 21-44-CS03 2021-05-24	38.25039	38.25039	-121.6866	-121.6866
EDSM 21-44-LSR02 2021-05-25	38.06622	38.06622	-121.83147	-121.83147
EDSM 21-43-RV01 2021-05-21	38.12643	38.12643	-121.69732	-121.69732
EDSM 21-43-CS01 2021-05-21	38.23463	38.23463	-121.67769	-121.67769
EDSM 21-43-CS03 2021-05-21	38.24535	38.24535	-121.68718	-121.68718
EDSM 21-44-PP01 2021-05-24	38.10069	38.10069	-121.58772	-121.58772
EDSM 21-44-LSJ03 2021-05-25	38.03541	38.03541	-121.72041	-121.72041
EDSM 21-44-LSR01 2021-05-25	38.0884	38.0884	-121.74116	-121.74116
EDSM 21-44-LSJ04 2021-05-25	38.02433	38.02433	-121.74179	-121.74179
EDSM 21-44-RV01 2021-05-25	38.17302	38.17302	-121.66948	-121.66948
EDSM 21-44-CS05 2021-05-24	38.27721	38.27721	-121.69397	-121.69397
EDSM 21-44-RV02 2021-05-25	38.10643	38.10643	-121.70491	-121.70491
EDSM 21-44-LSJ05 2021-05-25	38.01959	38.01959	-121.77076	-121.77076
EDSM 21-44-LSSC04 2021-05-27	38.2644	38.2644	-121.66331	-121.66331
EDSM 21-44-LSSC02 2021-05-27	38.20735	38.20735	-121.6571	-121.6571
EDSM 21-44-HB01 2021-05-26	38.05265	38.05265	-121.94531	-121.94531
EDSM 21-44-CF02 2021-05-26	38.03274	38.03274	-121.83296	-121.83296
EDSM 21-44-CF01 2021-05-26	38.04762	38.04762	-121.90446	-121.90446
EDSM 21-45-CF01 2021-06-01	38.05941	38.05941	-121.86959	-121.86959
EDSM 21-44-LSSC05 2021-05-27	38.19546	38.19546	-121.65604	-121.65604
EDSM 21-45-HB01 2021-06-01	38.04906	38.04906	-121.94275	-121.94275
EDSM 21-45-SBW02 2021-06-01	38.06715	38.06715	-122.10859	-122.10859
EDSM 21-45-SBW01 2021-06-01	38.07369	38.07369	-122.07719	-122.07719
EDSM 21-44-LSSC01 2021-05-26	38.29452	38.29452	-121.65566	-121.65566
EDSM 21-44-SBW01 2021-05-26	38.05536	38.05536	-122.11944	-122.11944
EDSM 21-44-SM01 2021-05-27	38.15332	38.15332	-122.05241	-122.05241
EDSM 21-44-SBW02 2021-05-26	38.07677	38.07677	-122.08758	-122.08758
EDSM 21-44-SM02 2021-05-27	38.19075	38.19075	-122.0438	-122.0438
EDSM 21-44-USSC01 2021-05-26	38.53772	38.53772	-121.58388	-121.58388
EDSM 21-44-RV03 2021-05-27	38.09355	38.09355	-121.70772	-121.70772
EDSM 21-44-USSC02 2021-05-26	38.56113	38.56113	-121.54541	-121.54541
EDSM 21-44-LSSC06 2021-05-27	38.42496	38.42496	-121.60533	-121.60533
EDSM 21-44-USSC03 2021-05-26	38.52953	38.52953	-121.58323	-121.58323
EDSM 21-44-USSC04 2021-05-26	38.48754	38.48754	-121.58388	-121.58388
EDSM 21-44-LSSC03 2021-05-27	38.45215	38.45215	-121.59294	-121.59294
EDSM 21-44-SM03 2021-05-27	38.14445	38.14445	-122.0603	-122.0603
EDSM 21-45-LSJ02 2021-06-02	38.01644	38.01644	-121.77876	-121.77876
EDSM 21-45-CF02 2021-06-01	38.04231	38.04231	-121.89575	-121.89575
EDSM 21-44-GB02 2021-05-27	38.10195	38.10195	-122.05917	-122.05917
EDSM 21-45-LSJ01 2021-06-02	38.03423	38.03423	-121.7322	-121.7322
EDSM 21-44-GB01 2021-05-27	38.12003	38.12003	-122.05494	-122.05494
EDSM 21-47-PP01 2021-06-14	38.10336	38.10336	-121.59804	-121.59804
EDSM 21-47-CS03 2021-06-14	38.30028	38.30028	-121.69173	-121.69173
EDSM 21-47-PP02 2021-06-14	38.06262	38.06262	-121.55854	-121.55854
EDSM 21-47-PP03 2021-06-14	38.08137	38.08137	-121.57453	-121.57453
EDSM 21-47-RV02 2021-06-15	38.13478	38.13478	-121.68693	-121.68693
EDSM 21-47-RV06 2021-06-15	38.14465	38.14465	-121.68775	-121.68775
EDSM 21-47-SM02 2021-06-15	38.17039	38.17039	-122.0286	-122.0286
EDSM 21-47-RV03 2021-06-15	38.11168	38.11168	-121.70652	-121.70652
EDSM 21-47-RV05 2021-06-15	38.09082	38.09082	-121.68405	-121.68405
EDSM 21-47-SM01 2021-06-15	38.1872	38.1872	-121.9785	-121.9785
EDSM 21-47-RV01 2021-06-15	38.08722	38.08722	-121.73833	-121.73833
EDSM 21-47-SM03 2021-06-15	38.17158	38.17158	-122.06102	-122.06102
EDSM 21-47-SM04 2021-06-15	38.17912	38.17912	-122.00294	-122.00294
EDSM 21-47-GB01 2021-06-15	38.11556	38.11556	-122.05606	-122.05606
EDSM 21-48-CS03 2021-06-21	38.28533	38.28533	-121.71823	-121.71823
EDSM 21-48-CS02 2021-06-21	38.2756	38.2756	-121.70653	-121.70653
EDSM 21-47-LSR01 2021-06-17	38.05967	38.05967	-121.81639	-121.81639
EDSM 21-47-LSR02 2021-06-17	38.0864	38.0864	-121.74573	-121.74573
EDSM 21-47-LSSC03 2021-06-17	38.42341	38.42341	-121.6062	-121.6062
EDSM 21-47-LSSC04 2021-06-17	38.27981	38.27981	-121.65929	-121.65929
EDSM 21-47-LSSC05 2021-06-17	38.19458	38.19458	-121.65616	-121.65616
EDSM 21-48-HB01 2021-06-22	38.07504	38.07504	-121.9471	-121.9471
EDSM 21-47-RV04 2021-06-17	38.14303	38.14303	-121.69256	-121.69256
EDSM 21-47-LSR03 2021-06-17	38.06229	38.06229	-121.78371	-121.78371
EDSM 21-47-LSR04 2021-06-17	38.07631	38.07631	-121.7703	-121.7703
EDSM SJT1 12/15/2016	38.08972222	38.08972222	-121.65	-121.65
EDSM PP7 12/27/2016	38.05314	38.05314	-121.50996	-121.50996
EDSM SJT2 12/15/2016	38.09688889	38.09688889	-121.6581667	-121.6581667
EDSM PP11 12/27/2016	38.03966	38.03966	-121.49245	-121.49245
EDSM PP1 12/15/2016	38.05680556	38.05680556	-121.5523333	-121.5523333
EDSM SJT6 12/27/2016	38.07854	38.07854	-121.68155	-121.68155
EDSM SJT8 12/27/2016	38.09407	38.09407	-121.67515	-121.67515
