"Station","DateTime.PT","Depth.feet","Temp.C","SpCond.uS","pH","ODOsat..","ODO.mg.L","Turbid..NTU","Chl.ug.L","Chl.RFU","Date"
"56",2014-08-28 10:52:02,1.00999999046326,21.8599987030029,280,8.05999946594238,101.599998474121,8.90999984741211,13.1999998092651,1.89999997615814,0.399999976158142,2014-08-28
"56",2014-08-28 10:52:36,2.00999999046326,21.8399982452393,280,8.05999946594238,101.599998474121,8.89999961853027,13.0999994277954,1.69999992847443,0.399999976158142,2014-08-28
"56",2014-08-28 10:53:02,3.6159999370575,21.8199996948242,280,8.04999923706055,101.199996948242,8.86999988555908,13.3999996185303,2,0.5,2014-08-28
"56",2014-08-28 10:53:27,5.71599960327148,21.7399997711182,276,8.04999923706055,100.799995422363,8.84999942779541,14.5,2.09999990463257,0.5,2014-08-28
"56",2014-08-28 10:53:53,8.72299957275391,21.7599983215332,276,8.02999973297119,100.599998474121,8.83999919891357,14.3999996185303,2.19999980926514,0.5,2014-08-28
"56",2014-08-28 10:54:12,10.4009990692139,21.689998626709,273,8.00999927520752,100.599998474121,8.84999942779541,15.5999994277954,2.09999990463257,0.5,2014-08-28
"56",2014-08-28 10:54:41,12.8189992904663,21.689998626709,272,7.97999954223633,100.399993896484,8.81999969482422,15.1999998092651,2.19999980926514,0.5,2014-08-28
"56",2014-08-28 10:55:02,16.011999130249,21.689998626709,270,7.94999980926514,100.099998474121,8.79999923706055,15.1999998092651,2.29999995231628,0.5,2014-08-28
"56",2014-08-28 10:55:27,20.0099983215332,21.6699981689453,270,7.96999979019165,99.8999938964844,8.77999973297119,17,2.39999985694885,0.599999964237213,2014-08-28
"56",2014-08-28 10:55:53,23.632999420166,21.6599998474121,270,7.95999956130981,99.5999984741211,8.75999927520752,19.1999988555908,2.19999980926514,0.5,2014-08-28
"56",2014-08-28 10:56:14,27.3599987030029,21.6599998474121,270,7.94999980926514,99.6999969482422,8.76999950408936,21.2999992370605,2.5,0.599999964237213,2014-08-28
"56",2014-08-28 10:56:46,31.4599990844727,21.6599998474121,268,7.94999980926514,99.5,8.75,23.7999992370605,2.79999995231628,0.699999988079071,2014-08-28
"56",2014-08-28 10:57:30,35.963996887207,21.6599998474121,267,7.94999980926514,99.0999984741211,8.70999908447266,31.1999988555908,2.59999990463257,0.599999964237213,2014-08-28
"62",2014-08-28 11:10:51,1.13399994373322,21.6799983978271,463,8.23999977111816,101.299995422363,8.89999961853027,40.2999992370605,3.79999995231628,0.899999976158142,2014-08-28
"62",2014-08-28 11:11:15,2.16299986839294,21.6199989318848,460,8.21999931335449,100.899993896484,8.86999988555908,40.0999984741211,3.79999995231628,0.899999976158142,2014-08-28
"62",2014-08-28 11:11:38,3.85699987411499,21.5799999237061,462,8.1899995803833,100.899993896484,8.88999938964844,41.7999992370605,3.89999985694885,0.899999976158142,2014-08-28
"62",2014-08-28 11:12:06,5.33799982070923,21.5299987792969,463,8.15999984741211,100.399993896484,8.84999942779541,42.7999992370605,3.69999980926514,0.899999976158142,2014-08-28
"62",2014-08-28 11:12:27,7.86799955368042,21.5299987792969,463,8.13999938964844,100.199996948242,8.82999992370605,43.2999992370605,3,0.699999988079071,2014-08-28
"62",2014-08-28 11:12:50,10.8099994659424,21.4799995422363,468,8.1299991607666,99.8999938964844,8.80999946594238,43.7999992370605,3.5,0.799999952316284,2014-08-28
"62",2014-08-28 11:13:18,13.8109998703003,21.4099998474121,469,8.11999988555908,99.5999984741211,8.79999923706055,45.5999984741211,3.29999995231628,0.799999952316284,2014-08-28
"62",2014-08-28 11:13:43,17.1139984130859,21.3899993896484,468,8.11999988555908,99.6999969482422,8.80999946594238,47.0999984741211,3.59999990463257,0.799999952316284,2014-08-28
"62",2014-08-28 11:14:09,20.9069995880127,21.3599987030029,468,8.09999942779541,99.2999954223633,8.77999973297119,48,3.79999995231628,0.899999976158142,2014-08-28
"62",2014-08-28 11:14:30,23.7949981689453,21.3499984741211,467,8.08999919891357,98.8999938964844,8.75,49.6999969482422,3.59999990463257,0.899999976158142,2014-08-28
"62",2014-08-28 11:14:53,28.0889987945557,21.3499984741211,467,8.07999992370605,98.6999969482422,8.72999954223633,51.1999969482422,3.19999980926514,0.799999952316284,2014-08-28
"62",2014-08-28 11:15:39,32.2509994506836,21.3399982452393,466,8.09999942779541,99,8.75999927520752,54.1999969482422,3.89999985694885,0.899999976158142,2014-08-28
"62",2014-08-28 11:16:06,34.8539962768555,21.3399982452393,466,8.09999942779541,98.7999954223633,8.73999977111816,54.1999969482422,3.79999995231628,0.899999976158142,2014-08-28
"66",2014-08-28 11:29:48,1.12999999523163,21.8299999237061,700,8.36999988555908,101.299995422363,8.86999988555908,44.6999969482422,4,0.899999976158142,2014-08-28
"66",2014-08-28 11:30:12,2.23999977111816,21.7999992370605,699,8.35999965667725,101,8.84999942779541,46.0999984741211,3.89999985694885,0.899999976158142,2014-08-28
"66",2014-08-28 11:30:34,3.60699987411499,21.75,700,8.35999965667725,100.699996948242,8.83999919891357,46.6999969482422,3.5,0.799999952316284,2014-08-28
"66",2014-08-28 11:31:04,5.04599952697754,21.6799983978271,696,8.35999965667725,101,8.86999988555908,48,4.19999980926514,1,2014-08-28
"66",2014-08-28 11:31:29,7.1729998588562,21.6099987030029,696,8.33999919891357,100.599998474121,8.84999942779541,48.6999969482422,4.09999990463257,1,2014-08-28
"66",2014-08-28 11:31:57,10.3269996643066,21.5099983215332,697,8.32999992370605,99.7999954223633,8.79999923706055,48.8999977111816,3.59999990463257,0.899999976158142,2014-08-28
"66",2014-08-28 11:32:28,12.6749992370605,21.439998626709,699,8.30999946594238,99.2999954223633,8.75999927520752,51,3.29999995231628,0.799999952316284,2014-08-28
"66",2014-08-28 11:32:53,14.9549999237061,21.4099998474121,702,8.28999996185303,99,8.73999977111816,52.8999977111816,4.19999980926514,1,2014-08-28
"66",2014-08-28 11:33:17,18.7049999237061,21.3399982452393,701,8.26999950408936,98.5999984741211,8.70999908447266,66.5999984741211,4.19999980926514,1,2014-08-28
"66",2014-08-28 11:33:37,22.0169982910156,21.3199996948242,698,8.25,98.0999984741211,8.66999912261963,76.7999954223633,4.5,1.09999990463257,2014-08-28
"66",2014-08-28 11:34:03,26.5139999389648,21.2999992370605,696,8.22999954223633,97.3999938964844,8.60999965667725,89.0999984741211,4.69999980926514,1.09999990463257,2014-08-28
"66",2014-08-28 11:34:43,31.3519992828369,21.2999992370605,695,8.20999908447266,96.7999954223633,8.56999969482422,96,5.09999990463257,1.19999992847443,2014-08-28
"70",2014-08-28 11:48:49,1.00699996948242,22.9599990844727,949,8.44999980926514,101.299995422363,8.67999935150146,28.5999984741211,4.19999980926514,1,2014-08-28
"70",2014-08-28 11:49:20,2.23599982261658,22.5599994659424,947,8.4399995803833,100.699996948242,8.6899995803833,29.5999984741211,4.5,1.09999990463257,2014-08-28
"70",2014-08-28 11:49:47,3.53999996185303,22.1299991607666,953,8.40999984741211,98.2999954223633,8.54999923706055,31.7999992370605,3,0.699999988079071,2014-08-28
"70",2014-08-28 11:50:14,5.08799982070923,22.0899982452393,957,8.3799991607666,97.2999954223633,8.46999931335449,32.3999977111816,3.29999995231628,0.799999952316284,2014-08-28
"70",2014-08-28 11:50:42,8.33899974822998,21.9599990844727,961,8.32999992370605,96.0999984741211,8.38999938964844,35.3999977111816,3.5,0.799999952316284,2014-08-28
"70",2014-08-28 11:51:08,10.5349998474121,21.9099998474121,952,8.28999996185303,95.6999969482422,8.35999965667725,41.8999977111816,3.19999980926514,0.799999952316284,2014-08-28
"70",2014-08-28 11:51:30,13.3689994812012,21.8799991607666,948,8.26999950408936,95.3999938964844,8.33999919891357,50.0999984741211,3.39999985694885,0.799999952316284,2014-08-28
"70",2014-08-28 11:52:00,16.7589988708496,21.8599987030029,944,8.25,94.5999984741211,8.26999950408936,66.5,3.5,0.799999952316284,2014-08-28
"70",2014-08-28 11:52:30,19.9039993286133,21.8499984741211,942,8.22999954223633,94.1999969482422,8.23999977111816,73.0999984741211,4.19999980926514,1,2014-08-28
"70",2014-08-28 11:52:54,24.1789989471436,21.8499984741211,942,8.21999931335449,94,8.21999931335449,77.1999969482422,3.79999995231628,0.899999976158142,2014-08-28
"70",2014-08-28 11:53:20,27.9779987335205,21.8399982452393,940,8.21999931335449,94,8.21999931335449,81.7999954223633,4.19999980926514,1,2014-08-28
"70",2014-08-28 11:53:49,31.4839992523193,21.8399982452393,937,8.21999931335449,93.6999969482422,8.1899995803833,82.3999938964844,4.39999961853027,1.09999990463257,2014-08-28
"74",2014-08-28 12:02:22,1.22699999809265,23.6099987030029,1057,8.50999927520752,101,8.53999996185303,26.6999988555908,4.89999961853027,1.19999992847443,2014-08-28
"74",2014-08-28 12:02:45,2.29599976539612,23.2399997711182,1071,8.5,100.199996948242,8.52999973297119,25.5,4.69999980926514,1.09999990463257,2014-08-28
"74",2014-08-28 12:03:09,3.88899993896484,22.7099990844727,1077,8.47999954223633,98,8.42999935150146,26.0999984741211,3.5,0.799999952316284,2014-08-28
"74",2014-08-28 12:03:36,5.02099990844727,22.4799995422363,1078,8.44999980926514,95.7999954223633,8.26999950408936,28.8999996185303,3.29999995231628,0.799999952316284,2014-08-28
"74",2014-08-28 12:04:03,7.47699975967407,22.3899993896484,1073,8.39999961853027,94.2999954223633,8.15999984741211,31.8999996185303,3.29999995231628,0.799999952316284,2014-08-28
"74",2014-08-28 12:04:31,10.757999420166,22.3299999237061,1064,8.35999965667725,93.7999954223633,8.11999988555908,35.1999969482422,3.89999985694885,0.899999976158142,2014-08-28
"74",2014-08-28 12:04:54,13.2559995651245,22.3199996948242,1061,8.32999992370605,93.5999984741211,8.10999965667725,35.5,3.79999995231628,0.899999976158142,2014-08-28
"74",2014-08-28 12:05:16,16.4849987030029,22.2899990081787,1059,8.30999946594238,93.2999954223633,8.08999919891357,38.5999984741211,3.79999995231628,0.899999976158142,2014-08-28
"74",2014-08-28 12:05:43,20.0359992980957,22.2599983215332,1062,8.29999923706055,93.2999954223633,8.09999942779541,46.6999969482422,4.29999971389771,1,2014-08-28
"74",2014-08-28 12:06:11,24.4379997253418,22.2399997711182,1059,8.28999996185303,92.7999954223633,8.04999923706055,53,3.69999980926514,0.899999976158142,2014-08-28
"74",2014-08-28 12:06:37,28.2379989624023,22.2199993133545,1055,8.27999973297119,92.3999938964844,8.01999950408936,62.6999969482422,4.5,1.09999990463257,2014-08-28
"74",2014-08-28 12:07:08,32.1539993286133,22.1999988555908,1053,8.26999950408936,91.8999938964844,7.97999954223633,77.1999969482422,4.5,1.09999990463257,2014-08-28
"74",2014-08-28 12:07:49,35.6139984130859,22.189998626709,1051,8.26999950408936,91.7999954223633,7.96999979019165,82.5,4.69999980926514,1.09999990463257,2014-08-28
"76",2014-08-28 12:19:07,1.02799999713898,24.6799983978271,1164,8.60999965667725,107,8.86999988555908,14.0999994277954,3.69999980926514,0.899999976158142,2014-08-28
"76",2014-08-28 12:19:41,2.08499979972839,24.3699989318848,1173,8.60999965667725,105.699996948242,8.80999946594238,12.0999994277954,4,1,2014-08-28
"76",2014-08-28 12:20:11,3.55099987983704,23.8999996185303,1181,8.59999942779541,104.399993896484,8.76999950408936,11.6999998092651,4.59999990463257,1.09999990463257,2014-08-28
"76",2014-08-28 12:20:37,5.25,23.4199981689453,1181,8.56999969482422,101.099998474121,8.56999969482422,12.3999996185303,4.29999971389771,1,2014-08-28
"76",2014-08-28 12:21:06,7.86599969863892,23.25,1176,8.50999927520752,97.5999984741211,8.29999923706055,12.7999992370605,3.79999995231628,0.899999976158142,2014-08-28
"76",2014-08-28 12:21:32,10.2249994277954,23.189998626709,1168,8.46999931335449,96.6999969482422,8.23999977111816,13.8999996185303,3.39999985694885,0.799999952316284,2014-08-28
"76",2014-08-28 12:21:54,13.7459993362427,23.1099987030029,1161,8.4399995803833,96.1999969482422,8.20999908447266,15.6999998092651,3.29999995231628,0.799999952316284,2014-08-28
"76",2014-08-28 12:22:14,17.0579986572266,23.0599994659424,1157,8.41999912261963,95.6999969482422,8.16999912261963,18.0999984741211,2.89999985694885,0.699999988079071,2014-08-28
"76",2014-08-28 12:22:38,21.6989994049072,22.9799995422363,1154,8.38999938964844,94.3999938964844,8.06999969482422,26,3,0.699999988079071,2014-08-28
"76",2014-08-28 12:23:10,26.6789989471436,22.8899993896484,1143,8.35999965667725,92.6999969482422,7.9399995803833,37.5999984741211,3.79999995231628,0.899999976158142,2014-08-28
"76",2014-08-28 12:23:43,31.0139999389648,22.8199996948242,1138,8.31999969482422,90.8999938964844,7.79999971389771,52.3999977111816,4.39999961853027,1,2014-08-28
"76",2014-08-28 12:24:21,34.1839981079102,22.7799987792969,1133,8.30999946594238,89.8999938964844,7.71999979019165,63.0999984741211,4.39999961853027,1.09999990463257,2014-08-28
"84",2014-08-28 12:32:45,1.07399988174438,24.8999996185303,1226,8.61999988555908,103.399993896484,8.52999973297119,9.69999980926514,3.69999980926514,0.899999976158142,2014-08-28
"84",2014-08-28 12:33:11,2.06799983978271,24.4099998474121,1223,8.61999988555908,103.799995422363,8.63999938964844,10.5999994277954,4.59999990463257,1.09999990463257,2014-08-28
"84",2014-08-28 12:33:36,3.53599977493286,24.1299991607666,1223,8.60999965667725,103.099998474121,8.6299991607666,10.8999996185303,5.69999980926514,1.29999995231628,2014-08-28
"84",2014-08-28 12:34:06,5,23.939998626709,1223,8.57999992370605,101.5,8.52999973297119,11.5,5.19999980926514,1.19999992847443,2014-08-28
"84",2014-08-28 12:34:34,7.66699981689453,23.75,1224,8.50999927520752,97.6999969482422,8.23999977111816,11.8999996185303,4,0.899999976158142,2014-08-28
"84",2014-08-28 12:35:06,10,23.6699981689453,1222,8.45999908447266,94.5,7.97999954223633,13.6999998092651,3.39999985694885,0.799999952316284,2014-08-28
"84",2014-08-28 12:35:33,12.8739995956421,23.5799999237061,1220,8.4399995803833,92.2999954223633,7.79999971389771,16.1999988555908,2.5,0.599999964237213,2014-08-28
"84",2014-08-28 12:36:00,15.9969997406006,23.5699996948242,1220,8.40999984741211,91.2999954223633,7.72999954223633,17.5999984741211,2.89999985694885,0.699999988079071,2014-08-28
"84",2014-08-28 12:36:32,20.0169982910156,23.5299987792969,1216,8.39999961853027,90.7999954223633,7.6899995803833,19.2999992370605,2.79999995231628,0.699999988079071,2014-08-28
"84",2014-08-28 12:36:55,24.1129989624023,23.4899997711182,1217,8.38999938964844,89.6999969482422,7.59999990463257,20.6999988555908,2.39999985694885,0.599999964237213,2014-08-28
"84",2014-08-28 12:37:18,27.9129981994629,23.439998626709,1213,8.3799991607666,87.8999938964844,7.44999980926514,23.8999996185303,2.39999985694885,0.599999964237213,2014-08-28
"84",2014-08-28 12:37:41,31.5789985656738,23.4099998474121,1210,8.36999988555908,87.1999969482422,7.39999961853027,27.1999988555908,2.69999980926514,0.599999964237213,2014-08-28
"84",2014-08-28 12:38:17,35.3569984436035,23.3899993896484,1208,8.35999965667725,86.5999984741211,7.34999990463257,28.5,3.29999995231628,0.799999952316284,2014-08-28
"WSP",2014-08-28 12:52:51,1.06299996376038,26.2999992370605,1246,8.67999935150146,115.799995422363,9.31999969482422,5.19999980926514,3.89999985694885,0.899999976158142,2014-08-28
"WSP",2014-08-28 12:53:25,2.06299996376038,25.4799995422363,1248,8.67999935150146,118.5,9.67999935150146,5.09999990463257,11.7999992370605,2.79999995231628,2014-08-28
"WSP",2014-08-28 12:53:54,2.99499988555908,24.9099998474121,1244,8.63999938964844,111.699996948242,9.20999908447266,5.29999971389771,15.5999994277954,3.69999980926514,2014-08-28
"WSP",2014-08-28 12:54:20,4.06199979782104,24.6099987030029,1242,8.57999992370605,105.699996948242,8.76999950408936,6.09999990463257,14.3999996185303,3.39999985694885,2014-08-28
"WSP",2014-08-28 12:54:43,5.15899991989136,24.5,1237,8.44999980926514,96.8999938964844,8.04999923706055,8.19999980926514,11.7999992370605,2.79999995231628,2014-08-28
"WSP",2014-08-28 12:55:25,6.04499959945679,24.2999992370605,1236,8.29999923706055,79.1999969482422,6.60999965667725,9.89999961853027,8.79999923706055,2.09999990463257,2014-08-28
"WSP",2014-08-28 12:56:02,7,24.1699981689453,1237,8.22999954223633,74.0999984741211,6.19999980926514,10.3999996185303,8.5,2,2014-08-28
"WSP",2014-08-28 12:56:30,8.11099910736084,24.0799999237061,1239,8.19999980926514,71.5,5.98999977111816,10.5999994277954,6.19999980926514,1.5,2014-08-28
"WSP",2014-08-28 12:56:59,9.59799957275391,23.8799991607666,1244,8.23999977111816,75,6.29999971389771,8,4.59999990463257,1.09999990463257,2014-08-28
"WSP",2014-08-28 12:57:25,10.9159994125366,23.75,1244,8.19999980926514,71.0999984741211,5.98999977111816,9.19999980926514,4.09999990463257,1,2014-08-28
"WSP",2014-08-28 12:58:01,12.3359994888306,23.6599998474121,1246,8.03999996185303,46.7999992370605,3.94999980926514,56.5999984741211,7.29999971389771,1.69999992847443,2014-08-28
"16",2014-10-07 08:14:38,0.829999983310699,20.8399982452393,3607,7.67999982833862,89.0999984741211,7.87999963760376,24.5999984741211,2.29999995231628,0.199999988079071,2014-10-07
"16",2014-10-07 08:15:02,2.56799983978271,20.8399982452393,3681,7.67999982833862,88.8999938964844,7.85999965667725,25.2999992370605,2.29999995231628,0.199999988079071,2014-10-07
"16",2014-10-07 08:15:22,3.8529999256134,20.8399982452393,3638,7.67999982833862,89.0999984741211,7.87999963760376,24.5,2.5,0.199999988079071,2014-10-07
"16",2014-10-07 08:15:50,5.73199987411499,20.8299999237061,3712,7.67999982833862,88.8999938964844,7.85999965667725,26.0999984741211,2.29999995231628,0.199999988079071,2014-10-07
"16",2014-10-07 08:16:19,7.63499975204468,20.8299999237061,3696,7.67999982833862,88.7999954223633,7.84999990463257,25.5,2.29999995231628,0.199999988079071,2014-10-07
"16",2014-10-07 08:16:42,10.17799949646,20.8299999237061,3739,7.67999982833862,88.6999969482422,7.83999967575073,26.5,2.5,0.199999988079071,2014-10-07
"16",2014-10-07 08:17:05,14.2409992218018,20.8299999237061,3759,7.67999982833862,88.5999984741211,7.82999992370605,26.2999992370605,2.39999997615814,0.199999988079071,2014-10-07
"16",2014-10-07 08:17:31,18.7749996185303,20.8299999237061,3835,7.67999982833862,88.7999954223633,7.84999990463257,28.1999988555908,2.39999997615814,0.199999988079071,2014-10-07
"16",2014-10-07 08:17:57,22.7079982757568,20.8299999237061,3861,7.67999982833862,88.5,7.81999969482422,29.5,1.79999995231628,0.0999999642372131,2014-10-07
"16",2014-10-07 08:18:18,25.6279983520508,20.8299999237061,3891,7.67999982833862,88.2999954223633,7.79999971389771,31.8999996185303,2.5,0.199999988079071,2014-10-07
"16",2014-10-07 08:18:46,28.6019992828369,20.8299999237061,3883,7.67999982833862,88.1999969482422,7.79999971389771,32.7999992370605,2.59999990463257,0.299999952316284,2014-10-07
"34",2014-10-07 08:36:19,0.99099999666214,21.0999984741211,294,7.60999965667725,84.5,7.50999975204468,10.6999998092651,2.29999995231628,0.399999976158142,2014-10-07
"34",2014-10-07 08:36:47,2.74499988555908,21.0899982452393,294,7.60999965667725,84.2999954223633,7.48999977111816,10.6999998092651,2,0.0999999642372131,2014-10-07
"34",2014-10-07 08:37:16,4.79999971389771,21.0899982452393,292,7.59999990463257,84,7.46999979019165,10.6999998092651,2.39999997615814,0.199999988079071,2014-10-07
"34",2014-10-07 08:37:40,6.24099969863892,21.0899982452393,293,7.59999990463257,84.2999954223633,7.5,11.2999992370605,2.19999998807907,0.199999988079071,2014-10-07
"34",2014-10-07 08:38:00,9.08199977874756,21.0899982452393,293,7.59999990463257,84.0999984741211,7.47999954223633,10.5999994277954,2.5,0.199999988079071,2014-10-07
"34",2014-10-07 08:38:19,11.7959995269775,21.0899982452393,293,7.59999990463257,84,7.46999979019165,10.3999996185303,2.29999995231628,0.199999988079071,2014-10-07
"34",2014-10-07 08:38:41,15.3739995956421,21.0899982452393,293,7.59999990463257,83.7999954223633,7.44999980926514,10.5,2.5,0.199999988079071,2014-10-07
"34",2014-10-07 08:39:03,17.8099994659424,21.0899982452393,293,7.59999990463257,83.6999969482422,7.4399995803833,10.1999998092651,3.19999992847443,0.399999976158142,2014-10-07
"34",2014-10-07 08:39:27,20.8299999237061,21.0899982452393,294,7.59999990463257,83.6999969482422,7.4399995803833,10.8999996185303,2.59999990463257,0.299999952316284,2014-10-07
"34",2014-10-07 08:39:46,24.0399990081787,21.0899982452393,294,7.59999990463257,83.8999938964844,7.45999956130981,11.2999992370605,2.19999998807907,0.199999988079071,2014-10-07
"34",2014-10-07 08:40:59,29.1919994354248,21.0899982452393,294,7.59999990463257,83.3999938964844,7.41999959945679,13,2,0.0999999642372131,2014-10-07
"44",2014-10-07 09:02:48,1.2409999370575,20.9499988555908,249,7.58999967575073,86.0999984741211,7.67999982833862,7.79999971389771,2.39999985694885,0.599999964237213,2014-10-07
"44",2014-10-07 09:03:13,2.54499983787537,20.9499988555908,249,7.59999990463257,85.6999969482422,7.6399998664856,8.39999961853027,2.59999990463257,0.599999964237213,2014-10-07
"44",2014-10-07 09:03:35,4.16499996185303,20.9499988555908,249,7.59999990463257,85.5999984741211,7.6399998664856,7.69999980926514,2.29999995231628,0.5,2014-10-07
"44",2014-10-07 09:03:56,6.46199989318848,20.9499988555908,249,7.59999990463257,85.5999984741211,7.62999963760376,7.5,2.19999980926514,0.5,2014-10-07
"44",2014-10-07 09:04:16,8.89599990844727,20.9499988555908,250,7.60999965667725,85.6999969482422,7.64999961853027,7.39999961853027,2.09999990463257,0.5,2014-10-07
"44",2014-10-07 09:04:35,12.0899991989136,20.9499988555908,250,7.60999965667725,85.7999954223633,7.64999961853027,7.5,2.09999990463257,0.5,2014-10-07
"44",2014-10-07 09:05:13,16.0519981384277,20.9499988555908,250,7.60999965667725,85.3999938964844,7.61999988555908,7.69999980926514,2.19999980926514,0.5,2014-10-07
"44",2014-10-07 09:05:29,18.6339988708496,20.9599990844727,250,7.60999965667725,85.1999969482422,7.59999990463257,7.59999990463257,1.79999995231628,0.399999976158142,2014-10-07
"44",2014-10-07 09:05:50,23.4709987640381,20.9599990844727,250,7.60999965667725,85.1999969482422,7.59999990463257,7.59999990463257,2.29999995231628,0.599999964237213,2014-10-07
"44",2014-10-07 09:06:09,28.5209999084473,20.9499988555908,250,7.60999965667725,85.1999969482422,7.59999990463257,7.89999961853027,1.79999995231628,0.399999976158142,2014-10-07
"44",2014-10-07 09:06:29,32.2969970703125,20.9499988555908,250,7.60999965667725,85.0999984741211,7.58999967575073,8.19999980926514,1.69999992847443,0.399999976158142,2014-10-07
"44",2014-10-07 09:06:51,36.4409980773926,20.9599990844727,250,7.60999965667725,84.8999938964844,7.56999969482422,8.09999942779541,2.09999990463257,0.5,2014-10-07
"44",2014-10-07 09:07:17,39.721996307373,20.9599990844727,250,7.60999965667725,84.6999969482422,7.55999994277954,8.29999923706055,1.89999997615814,0.5,2014-10-07
"Pro",2014-10-07 09:23:23,0.98499995470047,21.0799999237061,271,7.96999979019165,92.3999938964844,8.21999931335449,24.6999988555908,4.19999980926514,1,2014-10-07
"Pro",2014-10-07 09:23:53,2.10799980163574,21.0499992370605,271,7.96999979019165,92.6999969482422,8.25,26.6999988555908,4.09999990463257,1,2014-10-07
"Pro",2014-10-07 09:24:12,3.04899978637695,21.0499992370605,271,7.97999954223633,92.8999938964844,8.26999950408936,26.0999984741211,3.79999995231628,0.899999976158142,2014-10-07
"Pro",2014-10-07 09:24:32,4.93299961090088,21.0599994659424,271,7.97999954223633,93.1999969482422,8.28999996185303,25.8999996185303,3.89999985694885,0.899999976158142,2014-10-07
"Pro",2014-10-07 09:24:50,6.46499967575073,21.0399990081787,271,7.97999954223633,92.8999938964844,8.26999950408936,26.6999988555908,3.59999990463257,0.899999976158142,2014-10-07
"Pro",2014-10-07 09:25:09,8.25399971008301,21.0399990081787,271,7.97999954223633,92.6999969482422,8.25,27.5,4.19999980926514,1,2014-10-07
"Pro",2014-10-07 09:25:26,10.3519992828369,21.0399990081787,271,7.97999954223633,92.6999969482422,8.25,29.6999988555908,3.79999995231628,0.899999976158142,2014-10-07
"Pro",2014-10-07 09:25:45,12.5429992675781,21.0399990081787,271,7.97999954223633,92.6999969482422,8.25,28.0999984741211,3.89999985694885,0.899999976158142,2014-10-07
"Pro",2014-10-07 09:26:04,14.9219999313354,21.0399990081787,271,7.97999954223633,92.5999984741211,8.23999977111816,28.1999988555908,4,0.899999976158142,2014-10-07
"56",2014-10-07 10:20:39,1.11699998378754,21.2099990844727,342,7.92999982833862,92.8999938964844,8.23999977111816,7.29999971389771,3.19999980926514,0.799999952316284,2014-10-07
"56",2014-10-07 10:21:05,2.05999994277954,21.2099990844727,342,7.9399995803833,93.6999969482422,8.30999946594238,7.79999971389771,2.5,0.599999964237213,2014-10-07
"56",2014-10-07 10:21:24,3.93699979782104,21.1399993896484,342,7.94999980926514,93.6999969482422,8.31999969482422,7.79999971389771,3,0.699999988079071,2014-10-07
"56",2014-10-07 10:21:41,6.27099990844727,21.0899982452393,341,7.9399995803833,93.3999938964844,8.29999923706055,7.79999971389771,2.79999995231628,0.699999988079071,2014-10-07
"56",2014-10-07 10:22:03,9.77399921417236,21.0699996948242,340,7.9399995803833,92.7999954223633,8.25,8.39999961853027,2.59999990463257,0.599999964237213,2014-10-07
"56",2014-10-07 10:22:27,11.423999786377,21.0699996948242,339,7.92999982833862,92.5999984741211,8.22999954223633,8.19999980926514,2.5,0.599999964237213,2014-10-07
"56",2014-10-07 10:22:47,14.7529993057251,21.0399990081787,337,7.92999982833862,92.2999954223633,8.20999908447266,8.79999923706055,2.5,0.599999964237213,2014-10-07
"56",2014-10-07 10:23:10,17.1609992980957,21.0399990081787,337,7.92999982833862,92.0999984741211,8.19999980926514,8.79999923706055,2.29999995231628,0.5,2014-10-07
"56",2014-10-07 10:23:32,20.1989994049072,21.0399990081787,338,7.91999959945679,92,8.1899995803833,8.69999980926514,2.5,0.599999964237213,2014-10-07
"56",2014-10-07 10:23:51,23.681999206543,21.0399990081787,339,7.92999982833862,91.8999938964844,8.17999935150146,9.5,2,0.5,2014-10-07
"56",2014-10-07 10:24:10,27.5469989776611,21.0299987792969,338,7.91999959945679,91.6999969482422,8.16999912261963,9.39999961853027,2.19999980926514,0.5,2014-10-07
"56",2014-10-07 10:24:34,30.6749992370605,21.0299987792969,339,7.91999959945679,91.8999938964844,8.17999935150146,10.1999998092651,2.59999990463257,0.599999964237213,2014-10-07
"56",2014-10-07 10:24:59,35.4829978942871,21.0299987792969,339,7.91999959945679,91.6999969482422,8.15999984741211,11.1999998092651,2.39999985694885,0.599999964237213,2014-10-07
"62",2014-10-07 10:38:13,1.13899993896484,21.269998550415,513,8.21999931335449,97.7999954223633,8.65999984741211,14.7999992370605,3.5,0.799999952316284,2014-10-07
"62",2014-10-07 10:38:38,2.29599976539612,21.1599998474121,511,8.20999908447266,97.1999969482422,8.6299991607666,15.1999998092651,3.39999985694885,0.799999952316284,2014-10-07
"62",2014-10-07 10:39:01,3.34999990463257,21.1399993896484,512,8.20999908447266,96.6999969482422,8.57999992370605,15.3999996185303,3.89999985694885,0.899999976158142,2014-10-07
"62",2014-10-07 10:39:22,4.97299957275391,21.0899982452393,513,8.20999908447266,96.2999954223633,8.55999946594238,15.5,2.79999995231628,0.699999988079071,2014-10-07
"62",2014-10-07 10:39:44,7.55099964141846,21.0699996948242,514,8.19999980926514,96,8.52999973297119,15.7999992370605,3.29999995231628,0.799999952316284,2014-10-07
"62",2014-10-07 10:40:09,11.0599994659424,21.0399990081787,515,8.19999980926514,95.6999969482422,8.50999927520752,16.3999996185303,3.69999980926514,0.899999976158142,2014-10-07
"62",2014-10-07 10:40:27,13.0599994659424,21.0399990081787,515,8.19999980926514,95.6999969482422,8.50999927520752,16.2999992370605,3.19999980926514,0.799999952316284,2014-10-07
