Year,Month,DissAmmonia_RL,DissNitrateNitrite_RL,DissOrthophos_RL
2010,11,0.01,0.01,0.01
2010,10,0.01,0.01,0.01
2010,9,0.01,0.01,0.01
2010,8,0.01,0.01,0.01
2010,7,0.01,0.01,0.01
2010,6,0.01,0.01,0.01
2010,5,0.01,0.01,0.01
2010,4,0.01,0.01,0.01
2010,3,0.01,0.01,0.01
2010,2,0.01,0.01,0.01
2010,1,0.01,0.01,0.01
2009,12,0.01,0.01,0.01
2009,11,0.01,0.01,0.01
2009,10,0.01,0.01,0.01
2009,9,0.01,0.01,0.01
2009,8,0.01,0.01,0.01
2009,7,0.01,0.01,0.01
2009,6,0.01,0.01,0.01
2009,5,0.01,0.01,0.01
2009,4,0.01,0.01,0.01
2009,3,0.01,0.01,0.01
2009,2,0.01,0.01,0.01
2009,1,0.01,0.01,0.01
2008,12,0.01,0.01,0.01
2008,11,0.01,0.01,0.01
2008,10,0.01,0.01,0.01
2008,9,0.01,0.01,0.01
2008,8,0.01,0.01,0.01
2008,7,0.01,0.01,0.01
2008,6,0.01,0.01,0.01
2008,5,0.01,0.01,0.01
2008,4,0.01,0.01,0.01
2008,3,0.01,0.01,0.01
2008,2,0.01,0.01,0.01
2008,1,0.01,0.01,0.01
2007,12,0.01,0.01,0.01
2007,11,0.01,0.01,0.01
2007,10,0.01,0.01,0.01
2007,9,0.01,0.01,0.01
2007,8,0.01,0.01,0.01
2007,7,0.01,0.01,0.01
2007,6,0.01,0.01,0.01
2007,5,0.01,0.01,0.01
2007,4,0.01,0.01,0.01
2007,3,0.01,0.01,0.01
2007,2,0.01,0.01,0.01
2007,1,0.01,0.01,0.01
2006,12,0.01,0.01,0.01
2006,11,0.01,0.01,0.01
2006,10,0.01,0.01,0.01
2006,9,0.01,0.01,0.01
2006,8,0.01,0.01,0.01
2006,7,0.01,0.01,0.01
2006,6,0.01,0.01,0.01
2006,5,0.01,0.01,0.01
2006,4,0.01,0.01,0.01
2006,3,0.01,0.01,0.01
2006,2,0.01,0.01,0.01
2006,1,0.01,0.01,0.01
2005,12,0.01,0.01,0.01
2005,11,0.01,0.01,0.01
2005,10,0.01,0.01,0.01
2005,9,0.01,0.01,0.01
2005,8,0.01,0.01,0.01
2005,7,0.01,0.01,0.01
2005,6,0.01,0.01,0.01
2005,5,0.01,0.01,0.01
2005,4,0.01,0.01,0.01
2005,3,0.01,0.01,0.01
2005,2,0.01,0.01,0.01
2005,1,0.01,0.01,0.01
2004,12,0.01,0.01,0.01
2004,11,0.01,0.01,0.01
2004,10,0.01,0.01,0.01
2004,9,0.01,0.01,0.01
2004,8,0.01,0.01,0.01
2004,7,0.01,0.01,0.01
2004,6,0.01,0.01,0.01
2004,5,0.01,0.01,0.01
2004,4,0.01,0.01,0.01
2004,3,0.01,0.01,0.01
2004,2,0.01,0.01,0.01
2004,1,0.01,0.01,0.01
2003,12,0.01,,
2003,11,0.01,,
2003,10,0.01,,
2003,9,0.01,,
2003,8,0.01,,
2003,7,0.01,,
2003,6,0.01,,
2003,5,0.01,,
2003,4,0.01,,
2003,3,0.01,,
2003,2,0.01,,
2003,1,0.01,,
2002,12,0.01,,
2002,11,0.01,,
2002,10,0.01,,
2002,9,0.01,,
2002,8,0.01,,
2002,7,0.01,,
2002,6,0.01,,
2002,5,0.01,,
2002,4,0.01,,
2002,3,0.01,,
2002,2,0.01,,
2002,1,0.01,,
2001,12,0.01,,
2001,11,0.01,,
2001,10,0.01,,
2001,9,0.01,,
2001,8,0.01,,
2001,7,0.01,,
2001,6,0.01,,
2001,5,0.01,,
2001,4,0.01,,
2001,3,0.01,,
2001,2,0.01,,
2001,1,0.01,,
2000,12,0.01,,
2000,11,0.01,,
2000,10,0.01,,
2000,9,0.01,,
2000,8,0.01,,
2000,7,0.01,,
2000,6,0.01,,
2000,5,0.01,,
2000,4,0.01,,
2000,3,0.01,,
2000,2,0.01,,
2000,1,0.01,,
1999,12,0.01,,
1999,11,0.01,,
1999,10,0.01,,
1999,9,0.01,,
1999,8,0.01,,
1999,7,0.01,,
1999,6,0.01,,
1999,5,0.01,,
1999,4,0.01,,
1999,3,0.01,,
1999,2,0.01,,
1999,1,0.01,,
1998,12,0.01,,
1998,11,0.01,,
1998,10,0.01,,
1998,9,0.01,,
1998,8,0.01,,
1998,7,0.01,,
1998,6,0.01,,
1998,5,0.01,,
1998,4,0.01,,
1998,3,0.01,,
1998,2,0.01,,
1998,1,0.01,,
1997,12,,,
1997,11,,,
1997,10,,,
1997,9,,,
1997,8,,,
1997,7,,,
1997,6,,,
1997,5,,,
1997,4,,,
1997,3,,,
1997,2,,,
1997,1,,,
1996,12,,,
1996,11,,,
1996,10,,,
1996,9,,,
1996,8,,,
1996,7,,,
1996,6,,,
1996,5,,,
1996,4,,,
1996,3,,,
1996,2,,,
1996,1,,,
1995,12,,,
1995,11,,,
1995,10,,,
1995,9,,,
1995,8,,,
1995,7,,,
1995,6,,,
1995,5,,,
1995,4,,,
1995,3,,,
1995,2,,,
1995,1,,,
1994,12,,,
1994,11,,,
1994,10,,,
1994,9,,,
1994,8,,,
1994,7,,,
1994,6,,,
1994,5,,,
1994,4,,,
1994,3,,,
1994,2,,,
1994,1,,,
1993,12,,,
1993,11,,,
1993,10,,,
1993,9,,,
1993,8,,,
1993,7,,,
1993,6,,,
1993,5,,,
1993,4,,,
1993,3,,,
1993,2,,,
1993,1,,,
1992,12,,,
1992,11,,,
1992,10,,,
1992,9,,,
1992,8,,,
1992,7,,,
1992,6,,,
1992,5,,,
1992,4,,,
1992,3,,,
1992,2,,,
1992,1,,,
1991,12,,,
1991,11,,,
1991,10,,,
1991,9,,,
1991,8,,,
1991,7,,,
1991,6,,,
1991,5,,,
1991,4,,,
1991,3,,,
1991,2,,,
1991,1,,,
1990,12,,,
1990,11,,,
1990,10,,,
1990,9,,,
1990,8,,,
1990,7,,,
1990,6,,,
1990,5,,,
1990,4,,,
1990,3,,,
1990,2,,,
1990,1,,,
1989,12,,,
1989,11,,,
1989,10,,,
1989,9,,,
1989,8,,,
1989,7,,,
1989,6,,,
1989,5,,,
1989,4,,,
1989,3,,,
1989,2,,,
1989,1,,,
1988,12,,,
1988,11,,,
1988,10,,,
1988,9,,,
1988,8,,,
1988,7,,,
1988,6,,,
1988,5,,,
1988,4,,,
1988,3,,,
1988,2,,,
1988,1,,,
1987,12,,,
1987,11,,,
1987,10,,,
1987,9,,,
1987,8,,,
1987,7,,,
1987,6,,,
1987,5,,,
1987,4,,,
1987,3,,,
1987,2,,,
1987,1,,,
1986,12,,,
1986,11,,,
1986,10,,,
1986,9,,,
1986,8,,,
1986,7,,,
1986,6,,,
1986,5,,,
1986,4,,,
1986,3,,,
1986,2,,,
1986,1,,,
1985,12,,,
1985,11,,,
1985,10,,,
1985,9,,,
1985,8,,,
1985,7,,,
1985,6,,,
1985,5,,,
1985,4,,,
1985,3,,,
1985,2,,,
1985,1,,,
1984,12,,,
1984,11,,,
1984,10,,,
1984,9,,,
1984,8,,,
1984,7,,,
1984,6,,,
1984,5,,,
1984,4,,,
1984,3,,,
1984,2,,,
1984,1,,,
1983,12,,,
1983,11,,,
1983,10,,,
1983,9,,,
1983,8,,,
1983,7,,,
1983,6,,,
1983,5,,,
1983,4,,,
1983,3,,,
1983,2,,,
1983,1,,,
1982,12,,,
1982,11,,,
1982,10,,,
1982,9,,,
1982,8,,,
1982,7,,,
1982,6,,,
1982,5,,,
1982,4,,,
1982,3,,,
1982,2,,,
1982,1,,,
1981,12,,,
1981,11,,,
1981,10,,,
1981,9,,,
1981,8,,,
1981,7,,,
1981,6,,,
1981,5,,,
1981,4,,,
1981,3,,,
1981,2,,,
1981,1,,,
1980,12,,,
1980,11,,,
1980,10,,,
1980,9,,,
1980,8,,,
1980,7,,,
1980,6,,,
1980,5,,,
1980,4,,,
1980,3,,,
1980,2,,,
1980,1,,,
1979,12,,,
1979,11,,,
1979,10,,,
1979,9,,,
1979,8,,,
1979,7,,,
1979,6,,,
1979,5,,,
1979,4,,,
1979,3,,,
1979,2,,,
1979,1,,,
1978,12,,,
1978,11,,,
1978,10,,,
1978,9,,,
1978,8,,,
1978,7,,,
1978,6,,,
1978,5,,,
1978,4,,,
1978,3,,,
1978,2,,,
1978,1,,,
1977,12,,,
1977,11,,,
1977,10,,,
1977,9,,,
1977,8,,,
1977,7,,,
1977,6,,,
1977,5,,,
1977,4,,,
1977,3,,,
1977,2,,,
1977,1,,,
1976,12,,,
1976,11,,,
1976,10,,,
1976,9,,,
1976,8,,,
1976,7,,,
1976,6,,,
1976,5,,,
1976,4,,,
1976,3,,,
1976,2,,,
1976,1,,,
1975,12,,,
1975,11,,,
1975,10,,,
1975,9,,,
1975,8,,,
1975,7,,,
1975,6,,,
1975,5,,,
1975,4,,,
1975,3,,,
1975,2,,,
1975,1,,,
