Source,Station,Latitude,Longitude,Date,Datetime,Chlorophyll,DissAmmonia,DissNitrateNitrite,DOC,DissOrthophos
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,2001-08-23,2001-08-23T17:30:00Z,31.5,NA,2.05,3,0.08
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,1980-09-17,1980-09-17T19:45:00Z,NA,0.04,0.61,NA,NA
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,1980-07-16,1980-07-16T18:00:00Z,NA,0.05,0.06,NA,NA
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,1981-05-11,1981-05-11T23:40:00Z,NA,0.02,1.3,NA,0.14
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2013-05-16,2013-05-16T18:30:00Z,NA,NA,0.07,1.59,0.03
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,1981-07-21,1981-07-21T19:00:00Z,NA,0.1,1.7,NA,NA
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,1981-08-05,1981-08-05T17:50:00Z,NA,0.12,1.8,NA,0.19
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,1981-09-25,1981-09-25T20:00:00Z,NA,0,1.5,41,NA
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2009-06-24,2009-06-24T18:50:00Z,NA,NA,0.056,1.64,0.031
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,1981-07-24,1981-07-24T21:30:00Z,NA,0.07,1.8,NA,NA
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,1993-05-04,1993-05-04T22:45:00Z,NA,0.02,0.69,4,0.07
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,1981-08-27,1981-08-27T16:30:00Z,NA,0.2,0.08,2.5,NA
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,2001-06-14,2001-06-14T19:00:00Z,31.2,NA,2.03,2.8,0.08
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,2016-06-15,2016-06-15T19:40:00Z,NA,NA,NA,2.77,NA
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,1993-09-14,1993-09-14T21:20:00Z,NA,0.02,1.1,NA,0.08
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2009-04-21,2009-04-21T17:20:00Z,NA,0.02,0.074,1.42,0.022
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,2016-03-30,2016-03-30T18:00:00Z,NA,NA,0.12,1.96,0.02
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,1981-09-01,1981-09-01T18:30:00Z,NA,0.04,1.4,NA,0.13
USGS CAWSC,USGS-11447650,38.45601954,-121.5013437,1981-07-23,1981-07-23T17:15:00Z,NA,0.07,0.11,NA,NA
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,1981-09-04,1981-09-04T17:30:00Z,NA,0.15,1.2,NA,NA
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,1981-06-08,1981-06-08T21:10:00Z,NA,0.01,1.3,NA,0.18
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,1981-07-06,1981-07-06T20:15:00Z,NA,0.01,1.3,NA,0.12
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,2009-05-05,2009-05-05T17:30:00Z,NA,NA,0.74,NA,0.06
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,1981-09-15,1981-09-15T17:35:00Z,NA,0.1,1.5,NA,NA
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,2016-08-09,2016-08-09T18:30:00Z,NA,0.03,1.02,2.31,0.05
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,2009-04-22,2009-04-22T18:05:00Z,NA,NA,0.36,2.36,0.04
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,1981-08-18,1981-08-18T17:55:00Z,NA,0.06,1.5,NA,NA
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,2009-06-16,2009-06-16T17:40:00Z,NA,NA,1.07,NA,0.05
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,1981-06-23,1981-06-23T19:30:00Z,NA,0.01,1,21,NA
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,2009-06-02,2009-06-02T18:00:00Z,NA,NA,0.44,NA,0.04
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,2009-08-18,2009-08-18T16:40:00Z,NA,NA,1.37,NA,0.08
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,1981-05-26,1981-05-26T20:50:00Z,NA,0.02,1.5,NA,0.13
USGS CAWSC,USGS-11303500,37.6760406,-121.2663293,1981-05-18,1981-05-18T18:30:00Z,NA,0.09,1.7,NA,NA
